Period    ,From ,To,km2,QtPixel ,Interval,yearFrom,yearTo
1985-2020,Soy Beans,Mosaic of Agriculture and Pasture,"0,0049477903","5,482151701",35,1985,2020
1985-2020,Soy Beans,Soy Beans,"0,2476824969","274,4322066",35,1985,2020
1985-2020,Soy Beans,Mosaic of Crops,"0,0008021743","0,8888091426",35,1985,2020
1985-2020,Rice,Forest Formation,"0,1440297869","159,5850039",35,1985,2020
1985-2020,Rice,Savanna Formation,"0,0035199561","3,900111309",35,1985,2020
1985-2020,Rice,Forest Plantation,"0,2690352902","298,0911015",35,1985,2020
1985-2020,Rice,Wetland,"0,2335629072","258,7877012",35,1985,2020
1985-2020,Rice,"Grassland (Pastizal, Formación Herbácea)","0,0745929501","82,64898875",35,1985,2020
1985-2020,Rice,Pasture,"0,0211051098","23,38446166",35,1985,2020
1985-2020,Rice,Mosaic of Agriculture and Pasture,"1,4181162571","1571,272813",35,1985,2020
1985-2020,Rice,Beach and Dune,"0,0030634836","3,394339808",35,1985,2020
1985-2020,Rice,Other Non Vegetated Area,"0,0267089402","29,59350573",35,1985,2020
1985-2020,Rice,"River, Lake and Ocean","1,2315243922","1364,529027",35,1985,2020
1985-2020,Rice,Rice,"0,8892347840","985,2721407",35,1985,2020
1985-2020,Mosaic of Crops,Forest Formation,"2,1097848083","2337,641568",35,1985,2020
1985-2020,Mosaic of Crops,Savanna Formation,"0,0043813966","4,85458744",35,1985,2020
1985-2020,Mosaic of Crops,Forest Plantation,"0,6973851206","772,7027136",35,1985,2020
1985-2020,Mosaic of Crops,Wetland,"2,2377498408","2479,426824",35,1985,2020
1985-2020,Mosaic of Crops,"Grassland (Pastizal, Formación Herbácea)","1,9435394326","2153,441691",35,1985,2020
1985-2020,Mosaic of Crops,Other Non Forest Natural Formation,"0,0008091237","0,8965090798",35,1985,2020
1985-2020,Mosaic of Crops,Pasture,"2,3907764374","2648,980293",35,1985,2020
1985-2020,Mosaic of Crops,Sugar Cane,"0,8930230449","989,4695338",35,1985,2020
1985-2020,Mosaic of Crops,Mosaic of Agriculture and Pasture,"18,3146078373","20292,58548",35,1985,2020
1985-2020,Mosaic of Crops,Other Non Vegetated Area,"0,1765040795","195,5665201",35,1985,2020
1985-2020,Mosaic of Crops,"River, Lake and Ocean","0,4364268677","483,5609695",35,1985,2020
1985-2020,Mosaic of Crops,Soy Beans,"8,3252816747","9224,412096",35,1985,2020
1985-2020,Mosaic of Crops,Rice,"0,9279494429","1028,167983",35,1985,2020
1985-2020,Mosaic of Crops,Mosaic of Crops,"0,5292269649","586,3834771",35,1985,2020
1985-2020,Mosaic of Crops,Coffe,"0,0050341039","5,577787169",35,1985,2020
1985-2020,Coffe,Forest Formation,"12,7090476400","14081,62479",35,1985,2020
1985-2020,Coffe,Savanna Formation,"2,4202005792","2681,582242",35,1985,2020
1985-2020,Coffe,Forest Plantation,"0,1108099229","122,7773945",35,1985,2020
1985-2020,Coffe,Wetland,"0,1356277206","150,2755144",35,1985,2020
1985-2020,Coffe,"Grassland (Pastizal, Formación Herbácea)","0,1782789060","197,5330279",35,1985,2020
1985-2020,Coffe,Other Non Forest Natural Formation,"0,0033723560","3,736570468",35,1985,2020
1985-2020,Coffe,Pasture,"2,1069576711","2334,5091",35,1985,2020
1985-2020,Coffe,Sugar Cane,"0,0049167135","5,447718559",35,1985,2020
1985-2020,Coffe,Mosaic of Agriculture and Pasture,"3,0336935613","3361,332466",35,1985,2020
1985-2020,Coffe,Rocky outcrop,"0,0442609218","49,04110137",35,1985,2020
1985-2020,Coffe,"River, Lake and Ocean","0,0060447220","6,697552027",35,1985,2020
1985-2020,Coffe,Soy Beans,"0,0708051259","78,45207951",35,1985,2020
1985-2020,Coffe,Coffe,"2,3269048883","2578,210616",35,1985,2020
1985-2020,Coffe,Other Perennial Crops,"0,0103731903","11,49349486",35,1985,2020
1985-2020,Other Perennial Crops,Forest Formation,"1,5234416516","1687,97335",35,1985,2020
1985-2020,Other Perennial Crops,Savanna Formation,"1,1450859236","1268,755203",35,1985,2020
1985-2020,Other Perennial Crops,"Grassland (Pastizal, Formación Herbácea)","0,0237775064","26,3454771",35,1985,2020
1985-2020,Other Perennial Crops,Pasture,"0,1375164466","152,3682228",35,1985,2020
1985-2020,Other Perennial Crops,Mosaic of Agriculture and Pasture,"0,2892912729","320,5347304",35,1985,2020
1985-2020,Other Perennial Crops,"River, Lake and Ocean","0,3422014604","379,1592182",35,1985,2020
1985-2020,Other Perennial Crops,Coffe,"0,0363287313","40,25223431",35,1985,2020
1985-2020,Other Perennial Crops,Other Perennial Crops,"0,0087003294","9,639964983",35,1985,2020
1985-2020,Wooded Restinga,Non Observed,"0,0280764417","31,10869735",35,1985,2020
1985-2020,Wooded Restinga,Forest Formation,"0,0902446304","99,99105045",35,1985,2020
1985-2020,Wooded Restinga,Magrove,"8,2390203950","9128,834598",35,1985,2020
1985-2020,Wooded Restinga,Forest Plantation,"0,5257232606","582,5013727",35,1985,2020
1985-2020,Wooded Restinga,Wetland,"0,2761037429","305,9229471",35,1985,2020
1985-2020,Wooded Restinga,Other Non Forest Natural Formation,"2,0454158397","2266,32075",35,1985,2020
1985-2020,Wooded Restinga,Pasture,"0,0605117520","67,04702116",35,1985,2020
1985-2020,Wooded Restinga,Mosaic of Agriculture and Pasture,"2,3165048740","2566,6874",35,1985,2020
1985-2020,Wooded Restinga,Beach and Dune,"0,0155266543","17,20353296",35,1985,2020
1985-2020,Wooded Restinga,Urban Infrastructure,"0,0352636682","39,07214438",35,1985,2020
1985-2020,Wooded Restinga,Other Non Vegetated Area,"0,1027717700","113,8711212",35,1985,2020
1985-2020,Wooded Restinga,Salt flat,"0,0040354679","4,471298428",35,1985,2020
1985-2020,Wooded Restinga,"River, Lake and Ocean","0,5742563408","636,2760256",35,1985,2020
1985-2020,Wooded Restinga,Wooded Restinga,"267,2288751246","296089,5936",35,1985,2020
