system:index,area,band,class,class_name,.geo
9_0_17,4.96862688616943,classification_1994,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_18,6384.058773044886,classification_1994,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_19,6.423401123290998,classification_1994,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_20,0.20727250872802735,classification_1994,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_21,95.07745020892395,classification_1994,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_22,13.611818090698247,classification_1994,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_23,0.7371834523925783,classification_1994,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_24,274.96107897627064,classification_1994,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_0,22.61594080645726,classification_1995,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_1,309978.43006048485,classification_1995,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_2,21941.22922030784,classification_1995,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_3,919.3086898560161,classification_1995,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_4,56.76177656530801,classification_1995,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_5,5394.756624073498,classification_1995,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_6,30329.5593605394,classification_1995,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_7,68.82857257696489,classification_1995,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_8,3253.645902821863,classification_1995,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_9,0.17561214440917972,classification_1995,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_10,896.3626141266473,classification_1995,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_11,1157.3590858376854,classification_1995,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_12,1.639577349609375,classification_1995,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_13,240.73330319696143,classification_1995,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_14,303.25204252281986,classification_1995,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_15,4.426768421020528,classification_1995,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_16,0.018463244079589845,classification_1995,31,Aquaculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_17,3.9913053510742196,classification_1995,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_18,6446.010769364041,classification_1995,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_19,7.509839570312486,classification_1995,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_20,3.1179864980468777,classification_1995,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_21,98.27505605426042,classification_1995,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_22,13.54655540679932,classification_1995,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_23,0.4850560842895512,classification_1995,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_24,278.2357473857565,classification_1995,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_0,19.762426174438186,classification_1996,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_1,309866.1877758748,classification_1996,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_2,21877.576111543396,classification_1996,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_3,938.7920975294891,classification_1996,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_4,59.14396390936316,classification_1996,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_5,5521.311736343746,classification_1996,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_6,30235.55192064933,classification_1996,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_7,68.14281551855397,classification_1996,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_8,3359.1614884000546,classification_1996,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_9,0.15002180139160154,classification_1996,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_10,934.2854350654278,classification_1996,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_11,1182.6654843128238,classification_1996,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_12,1.7530263418579093,classification_1996,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_13,213.1374898607186,classification_1996,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_14,298.77914983013216,classification_1996,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_15,4.515913567749033,classification_1996,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_16,0.018463244079589845,classification_1996,31,Aquaculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_17,3.8349088755493144,classification_1996,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_18,6441.71117813046,classification_1996,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_19,10.199770034667957,classification_1996,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_20,3.5163021522216655,classification_1996,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_21,88.9801450592046,classification_1996,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_22,13.568231243042,classification_1996,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_23,0.45458598529052774,classification_1996,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_24,277.0754891422869,classification_1996,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_0,19.275868211547603,classification_1997,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_1,309828.2535884932,classification_1997,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_2,21808.390585027606,classification_1997,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_3,943.4516850549663,classification_1997,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_4,63.24718701025432,classification_1997,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_5,5439.119618086222,classification_1997,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_6,30402.42555704664,classification_1997,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_7,72.34221245910553,classification_1997,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_8,3460.213465742892,classification_1997,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_9,0.17024260998535157,classification_1997,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_10,1053.0437426555156,classification_1997,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_11,1171.8590035906484,classification_1997,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_12,1.9200528048095695,classification_1997,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_13,209.89864223333788,classification_1997,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_14,300.31034063774933,classification_1997,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_15,4.540408339965831,classification_1997,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_16,0.018463244079589845,classification_1997,31,Aquaculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_17,4.226381265075685,classification_1997,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_18,6241.002960491253,classification_1997,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_19,11.860221138488772,classification_1997,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_20,13.286349334838695,classification_1997,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_21,81.41647455505371,classification_1997,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_22,13.004431984313952,classification_1997,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_23,0.260334116394043,classification_1997,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_24,276.7381144566161,classification_1997,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_0,20.531905317992916,classification_1998,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_1,309463.2207883637,classification_1998,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_2,21831.256031223333,classification_1998,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_3,946.7804532769167,classification_1998,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_4,64.50052932171663,classification_1998,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_5,5249.191497639116,classification_1998,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_6,30627.537018870247,classification_1998,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_7,74.98948993987833,classification_1998,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_8,3968.8906458477263,classification_1998,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_9,0.17552769604492185,classification_1998,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_10,1060.3904297875372,classification_1998,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_11,1145.10601212363,classification_1998,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_12,2.053006157104491,classification_1998,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_13,216.54975499054103,classification_1998,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_14,300.5584464558036,classification_1998,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_15,4.51164998809815,classification_1998,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_16,0.018463244079589845,classification_1998,31,Aquaculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_17,5.437136114257813,classification_1998,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_18,6081.096587003175,classification_1998,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_19,11.694945436279308,classification_1998,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_20,0.2780348649902342,classification_1998,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_21,55.47159676879862,classification_1998,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_22,13.400395942810036,classification_1998,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_23,0.2537490047607422,classification_1998,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_24,276.38183521241626,classification_1998,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_0,15.08268768328856,classification_1999,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_1,309407.17983438354,classification_1999,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_2,21806.089279325974,classification_1999,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_3,955.6477842178554,classification_1999,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_4,64.11665960467575,classification_1999,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_5,5363.5563118246455,classification_1999,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_6,30208.818026268607,classification_1999,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_7,76.15328049261245,classification_1999,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_8,4014.3329739532596,classification_1999,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_9,0.18173895727539063,classification_1999,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_10,1024.2524567327887,classification_1999,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_11,1131.337450610534,classification_1999,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_12,2.13608737347412,classification_1999,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_13,219.24499579760885,classification_1999,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_14,305.19214989897995,classification_1999,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_15,4.465335817749028,classification_1999,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_16,0.018463244079589845,classification_1999,31,Aquaculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_17,5.629468019287118,classification_1999,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_18,6452.279258883124,classification_1999,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_19,11.971810842285155,classification_1999,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_20,0.7471171156616209,classification_1999,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_21,58.10593922418194,classification_1999,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_22,16.46664049475099,classification_1999,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_23,0.2616696338500977,classification_1999,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_24,277.00851019026146,classification_1999,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_0,11.498907937194831,classification_2000,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_1,309967.88653495733,classification_2000,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_2,21870.25565965431,classification_2000,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_3,931.8531223063828,classification_2000,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_4,61.39902174072316,classification_2000,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_5,5423.576526736237,classification_2000,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_6,30698.633115461318,classification_2000,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_7,79.19147847131154,classification_2000,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_8,3586.5133216599875,classification_2000,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_9,0.1817393151855469,classification_2000,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_10,955.625827378847,classification_2000,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_11,1125.7120724343863,classification_2000,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_12,2.298083246520995,classification_2000,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_13,214.32509700860732,classification_2000,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_14,303.0523822481619,classification_2000,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_15,4.406063609436037,classification_2000,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_16,4.413464635375973,classification_2000,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_17,5796.589709436359,classification_2000,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_18,14.147225789489742,classification_2000,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_19,9.99506449719235,classification_2000,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_20,56.657462460693175,classification_2000,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_21,21.09015391009521,classification_2000,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_22,0.2977958579711915,classification_2000,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_23,280.67609983808643,classification_2000,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_0,9.65639518225098,classification_2001,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_1,309956.94813610025,classification_2001,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_2,21842.648602514455,classification_2001,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_3,952.8818774521866,classification_2001,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_4,54.16090071423387,classification_2001,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_5,5211.240965886112,classification_2001,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_6,31250.49775912131,classification_2001,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_7,79.03216458514163,classification_2001,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_8,3648.754460019989,classification_2001,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_9,0.18966623223876955,classification_2001,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_10,909.4777791239076,classification_2001,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_11,1136.092799869034,classification_2001,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_12,2.3330508892211905,classification_2001,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_13,199.4809898482068,classification_2001,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_14,301.8917782920458,classification_2001,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_15,4.303272656677248,classification_2001,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_16,3.7491103449096617,classification_2001,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_17,5487.594661712603,classification_2001,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_18,25.566317187500058,classification_2001,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_19,0.5506847207641602,classification_2001,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_20,43.84121520928951,classification_2001,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_21,21.260852633728007,classification_2001,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_22,0.32658424780273454,classification_2001,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_23,277.79590604701144,classification_2001,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_0,7.538931228515619,classification_2002,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_1,309734.30299366853,classification_2002,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_2,21738.364774221893,classification_2002,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_3,976.149914334317,classification_2002,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_4,43.67077547082542,classification_2002,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_5,5505.961940549359,classification_2002,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_6,30798.22472179548,classification_2002,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_7,81.22713897167739,classification_2002,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_8,3931.274388549645,classification_2002,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_9,0.20900565869140625,classification_2002,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_10,947.6015580842891,classification_2002,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_11,1147.7237798610802,classification_2002,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_12,2.3480798576049797,classification_2002,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_13,188.9868432016608,classification_2002,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_14,311.1603332922893,classification_2002,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_15,4.420660118652341,classification_2002,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_16,3.502444996948239,classification_2002,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_17,5629.719915882376,classification_2002,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_18,28.783539075500414,classification_2002,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_19,2.0030855827636604,classification_2002,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_20,35.75935331677247,classification_2002,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_21,20.144601506896958,classification_2002,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_22,0.26405641522216805,classification_2002,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_23,280.93309494965933,classification_2002,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_0,9.106015738708493,classification_2003,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_1,309559.43832671957,classification_2003,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_2,21749.976052144342,classification_2003,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_3,968.1661040260896,classification_2003,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_4,23.35871859765623,classification_2003,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_5,5283.360298487807,classification_2003,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_6,31051.799352212784,classification_2003,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_7,83.05134347070008,classification_2003,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_8,4073.5535624439967,classification_2003,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_9,0.2142809849243164,classification_2003,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_10,997.2623819981675,classification_2003,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_11,1146.1743751267147,classification_2003,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_12,2.353319805480956,classification_2003,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_13,182.91992021484464,classification_2003,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_14,309.2901806655797,classification_2003,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_15,4.900790135498041,classification_2003,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_16,3.514623851684568,classification_2003,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_17,5620.662003273675,classification_2003,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_18,29.835213238769533,classification_2003,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_19,0.2611686960449221,classification_2003,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_20,28.04605898992922,classification_2003,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_21,15.314465374145518,classification_2003,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_22,0.22843387817382813,classification_2003,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_23,277.4889405159451,classification_2003,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_0,7.553860179870599,classification_2004,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_1,309284.8007126441,classification_2004,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_2,21803.410496362307,classification_2004,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_3,950.4806257785536,classification_2004,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_4,24.294124826416027,classification_2004,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_5,5508.5984424715925,classification_2004,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_6,30862.260116659054,classification_2004,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_7,87.89723962853517,classification_2004,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_8,4228.9037147581985,classification_2004,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_9,0.2185753743896484,classification_2004,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_10,951.7869748731725,classification_2004,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_11,1136.6583572003285,classification_2004,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
