system:index,area,band,class,class_name,.geo
1_0_23,3.505478618286142,classification_1986,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_24,279.02188766841016,classification_1986,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,35.5748676362912,classification_1987,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_1,310976.80618612526,classification_1987,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_2,21977.870097387255,classification_1987,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_3,844.2058650439292,classification_1987,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_4,33.63100134356666,classification_1987,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_5,5352.39219920937,classification_1987,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_6,30675.44098172418,classification_1987,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_7,72.54980626489102,classification_1987,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_8,2711.270585226041,classification_1987,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_9,0.17200766394042968,classification_1987,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_10,916.4379275194078,classification_1987,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_11,1096.4510757365965,classification_1987,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_12,1.0705899017333986,classification_1987,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_13,264.3867178238532,classification_1987,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_14,315.2087660244078,classification_1987,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_15,2.704586950866681,classification_1987,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_16,0.021100907775878905,classification_1987,31,Aquaculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_17,4.780164673217774,classification_1987,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
