"Aggregated_class","year","sum(area)"
"Non observed",1985,36.5786410359494
"Non observed",1986,37.1233243160397
"Non observed",1987,35.5748676362912
"Non observed",1988,31.9484875827633
"Non observed",1989,24.2252560956419
"Non observed",1990,23.3927629547117
"Non observed",1991,22.1111397282102
"Non observed",1992,22.521408854553
"Non observed",1993,23.8248751164548
"Non observed",1994,23.2146927368161
"Non observed",1995,22.6159408064573
"Non observed",1996,19.7624261744382
"Non observed",1997,19.2758682115476
"Non observed",1998,20.5319053179929
"Non observed",1999,15.0826876832886
"Non observed",2000,11.4989079371948
"Non observed",2001,9.65639518225098
"Non observed",2002,7.53893122851562
"Non observed",2003,9.10601573870849
"Non observed",2004,7.5538601798706
"Non observed",2005,17.93137170874
"Non observed",2006,10.3879916254273
"Non observed",2007,10.4913736846313
"Non observed",2008,12.3526605254516
"Non observed",2009,19.6893122039182
"Non observed",2010,16.2985739656372
"Non observed",2011,20.197543991516
"Non observed",2012,21.662179694519
"Non observed",2013,22.8680455496824
"Non observed",2014,21.7664799915159
"Non observed",2015,20.7276813878171
"Non observed",2016,20.2903423638914
"Non observed",2017,21.3864032523801
"Non observed",2018,22.0937681096189
"Non observed",2019,26.6652901338498
"Non observed",2020,36.5059092792966
"Pasture",1985,3304.50624631452
"Pasture",1986,2725.78507874142
"Pasture",1987,2711.27058522604
"Pasture",1988,2678.67022366733
"Pasture",1989,2673.90029876858
"Pasture",1990,2624.58294853013
"Pasture",1991,2628.53977117881
"Pasture",1992,2925.44135496763
"Pasture",1993,3018.74444724667
"Pasture",1994,3173.89915533846
"Pasture",1995,3253.64590282186
"Pasture",1996,3359.16148840005
"Pasture",1997,3460.21346574289
"Pasture",1998,3968.89064584773
"Pasture",1999,4014.33297395326
"Pasture",2000,3586.51332165999
"Pasture",2001,3648.75446001999
"Pasture",2002,3931.27438854965
"Pasture",2003,4073.553562444
"Pasture",2004,4228.9037147582
"Pasture",2005,4370.8921088241
"Pasture",2006,4438.06474087725
"Pasture",2007,4493.50292644048
"Pasture",2008,4489.90190380299
"Pasture",2009,4587.54133450793
"Pasture",2010,4416.04887824121
"Pasture",2011,4564.66724884527
"Pasture",2012,4506.78068322666
"Pasture",2013,4312.97286820924
"Pasture",2014,4327.81638632997
"Pasture",2015,4276.98483924765
"Pasture",2016,4281.46411691113
"Pasture",2017,4357.71543621363
"Pasture",2018,4459.22342046231
"Pasture",2019,4454.05988951901
"Pasture",2020,5016.62876588313
"Water",1985,5657.53096809222
"Water",1986,5944.96197336135
"Water",1987,5795.27073191672
"Water",1988,5876.83216303734
"Water",1989,6011.8950766446
"Water",1990,6310.50363359356
"Water",1991,6450.19540319774
"Water",1992,6510.66105745467
"Water",1993,6416.26355817748
"Water",1994,6384.07723628897
"Water",1995,6446.02923260812
"Water",1996,6441.72964137454
"Water",1997,6241.02142373533
"Water",1998,6081.11505024725
"Water",1999,6452.2977221272
"Water",2000,5796.58970943636
"Water",2001,5487.5946617126
"Water",2002,5629.71991588238
"Water",2003,5620.66200327367
"Water",2004,5687.21382964509
"Water",2005,5781.68252386567
"Water",2006,5877.27704333491
"Water",2007,5727.16697341589
"Water",2008,5758.34313429101
"Water",2009,5618.87579451867
"Water",2010,5515.74509449561
"Water",2011,5507.54020291682
"Water",2012,5471.63642995009
"Water",2013,5430.99920178751
"Water",2014,5475.29567468486
"Water",2015,5461.36096655752
"Water",2016,5444.08585969628
"Water",2017,5478.92962299425
"Water",2018,5460.4395191212
"Water",2019,5495.87076851049
"Water",2020,5753.28874168302
